0, 10
1, 13
2, 15
3, 18
4, 21
5, 25
6, 28
7, 32
8, 36
9, 41
10, 46
11, 50
12, 55
13, 59
14, 63
15, 67
16, 70
17, 72
18, 74
19, 74
20, 74
21, 73
22, 70
23, 67
24, 63
25, 59
26, 55
27, 50
28, 46
29, 42
30, 38
31, 34
32, 30
33, 27
34, 24
35, 22
36, 19
37, 16
38, 14
39, 12
40, 11
41, 10
42, 8
43, 7
44, 6
45, 6
46, 6
47, 6
48, 6
49, 6
50, 6
51, 6
52, 6
53, 6
54, 6
55, 6
56, 6
57, 6
58, 6
59, 6
60, 6
61, 6
62, 6
63, 6
64, 6
65, 6
66, 6
67, 6
68, 6
69, 6
70, 6
71, 6
72, 6
73, 6
74, 6
75, 5
76, 4
77, 3
78, 3
79, 3
80, 3
81, 3
82, 3
83, 3
84, 3
85, 3
86, 3
87, 3
88, 3
89, 3
90, 3
91, 3
92, 3
93, 3
94, 3
95, 3
96, 3
97, 3
98, 3
99, 3
100, 3
101, 3
102, 3
103, 3
104, 3
105, 3
106, 3
107, 3
108, 3
109, 3
110, 3
111, 3
112, 3
113, 3
114, 3
115, 3
116, 3
117, 3
118, 3
119, 3
120, 3
121, 3
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 3
129, 3
130, 3
131, 3
132, 3
133, 3
134, 3
135, 3
136, 3
137, 3
138, 3
139, 3
140, 3
141, 3
142, 3
143, 3
144, 3
145, 3
146, 3
147, 3
148, 3
149, 3
150, 3
151, 3
152, 3
153, 3
154, 3
155, 3
156, 3
157, 3
158, 3
159, 3
160, 3
161, 3
162, 3
163, 3
164, 3
165, 3
166, 3
167, 3
168, 3
169, 3
170, 3
171, 3
172, 3
173, 3
174, 3
175, 3
176, 3
177, 3
178, 3
179, 3
180, 3
181, 3
182, 3
183, 3
184, 3
185, 3
186, 3
187, 3
188, 3
189, 3
190, 3
191, 3
192, 3
193, 3
194, 3
195, 3
196, 3
197, 3
198, 3
199, 3
200, 3
201, 3
202, 3
203, 3
204, 3
205, 3
206, 3
207, 3
208, 3
209, 3
210, 3
211, 3
212, 3
213, 3
214, 3
215, 3
216, 3
217, 3
218, 3
219, 3
220, 3
221, 3
222, 3
223, 3
224, 3
225, 3
226, 3
227, 3
228, 3
229, 3
230, 3
231, 3
232, 3
233, 3
234, 3
235, 3
236, 3
237, 3
238, 3
239, 3
240, 3
241, 3
242, 3
243, 3
244, 3
245, 3
246, 3
247, 3
248, 3
249, 3
250, 3
251, 3
252, 3
253, 3
254, 3
255, 3
256, 3
257, 3
258, 3
259, 3
260, 3
261, 3
262, 3
263, 3
264, 3
265, 3
266, 3
267, 3
268, 3
269, 3
270, 3
271, 3
272, 3
273, 3
274, 3
275, 3
276, 3
277, 3
278, 3
279, 3
280, 3
281, 3
282, 3
283, 3
284, 3
285, 3
286, 3
287, 3
288, 3
289, 3
290, 3
291, 3
292, 3
293, 3
294, 3
295, 3
296, 3
297, 3
298, 3
299, 3
300, 3
301, 3
302, 3
303, 3
304, 3
305, 3
306, 3
307, 3
308, 3
309, 3
310, 3
311, 3
312, 3
313, 3
314, 3
315, 3
316, 3
317, 3
318, 3
319, 3
320, 3
321, 3
322, 3
323, 3
324, 3
325, 3
326, 3
327, 3
328, 3
329, 3
330, 3
331, 3
332, 3
333, 3
334, 3
335, 3
336, 3
337, 3
338, 3
339, 3
340, 3
341, 3
342, 3
343, 3
344, 3
345, 3
346, 3
347, 3
348, 3
349, 3
350, 3
351, 3
352, 3
353, 3
354, 3
355, 3
356, 3
357, 3
358, 3
359, 3
360, 3
361, 3
362, 3
363, 3
364, 3
365, 3
366, 3
367, 3
368, 3
369, 3
370, 3
371, 3
372, 3
373, 3
374, 3
375, 3
376, 3
377, 3
378, 3
379, 3
380, 3
381, 3
382, 3
383, 3
384, 3
385, 3
386, 3
387, 3
388, 3
389, 3
390, 3
391, 3
392, 3
393, 3
394, 3
395, 3
396, 3
397, 3
398, 3
399, 3
400, 3
401, 3
402, 3
403, 3
404, 3
405, 3
406, 3
407, 3
408, 2
409, 1
410, 0
